Samples - Plot 0	"Amplitude, V - Plot 0"
122	-0.00280399
123	-0.00768277
124	-0.0034545
125	-0.00670701
126	-0.00377975
127	-0.000527234
128	-0.00377975
129	-0.00768277
130	-0.00573126
131	-0.004105
132	-0.00280399
133	-0.0034545
134	-0.00540601
135	-0.00150299
136	-0.000527234
137	-0.00865852
138	-0.00508075
139	0.00044852
140	-0.00573126
141	-0.0102848
142	-0.0034545
143	-0.00312925
144	-0.00540601
145	-0.00703226
146	-0.00605651
147	-0.00930902
148	-0.00247874
149	-0.00670701
150	-0.00638176
151	-0.00215349
152	-0.00865852
153	-0.0128868
154	-0.004105
155	-0.00573126
156	-0.00377975
157	-0.00670701
158	-0.00605651
159	-0.00377975
160	-0.00573126
161	-0.00508075
162	-0.00573126
163	-0.00215349
164	-0.00670701
165	-0.0047555
166	-0.00800802
167	-0.00540601
168	-0.00605651
169	-0.00930902
170	-0.000852486
171	-0.00117774
172	-0.00703226
173	-0.004105
174	-0.00573126
175	-0.00800802
176	-0.00443025
177	-0.00605651
178	-0.0102848
179	-0.00573126
180	-0.00735751
181	-0.00443025
182	-0.00377975
183	-0.00768277
184	-0.000201983
185	-0.000201983
186	-0.00605651
187	-0.00377975
188	-0.00312925
189	-0.00605651
190	-0.004105
191	-0.00638176
192	-0.00605651
193	-0.00280399
194	-0.00312925
195	-0.00377975
196	-0.00573126
197	-0.00117774
198	-0.00150299
199	-0.00280399
200	-0.00443025
201	-0.00540601
202	-0.00117774
203	0.00240003
204	-0.00247874
205	0.00207478
206	0.000123269
207	-0.0034545
208	-0.00182824
209	0.00760405
210	0.00240003
211	-0.00117774
212	-0.0047555
213	-0.00638176
214	-0.00312925
215	-0.00182824
216	0.00142427
217	0.00044852
218	-0.00312925
219	-0.00508075
220	-0.00117774
221	-0.00443025
222	-0.000527234
223	0.00305053
224	-0.00117774
225	-0.00150299
226	-0.000201983
227	-0.00280399
228	0.00044852
229	0.000773772
230	0.00240003
231	-0.000201983
232	-0.00182824
233	-0.00150299
234	-0.00182824
235	-0.00312925
236	-0.000201983
237	-0.00247874
238	-0.00540601
239	-0.0047555
240	-0.00182824
241	0.000123269
242	0.000773772
243	0.000123269
244	-0.0034545
245	0.000773772
246	-0.00182824
247	0.00142427
248	-0.000527234
249	-0.00605651
250	-0.00247874
251	-0.00117774
252	-0.00215349
253	-0.000527234
254	-0.00117774
255	-0.00247874
256	-0.000201983
257	-0.000527234
258	-0.000527234
259	-0.000527234
260	0.000773772
261	-0.000852486
262	-0.0034545
263	0.00174953
264	0.000773772
265	-0.000852486
266	-0.000852486
267	0.000123269
268	0.00174953
269	0.00174953
270	0.00044852
271	0.00207478
272	0.000123269
273	0.00044852
274	0.00207478
275	-0.00215349
276	0.00272528
277	0.000773772
278	-0.00247874
279	-0.000852486
280	-0.00247874
281	0.00305053
282	0.00272528
283	-0.00150299
284	-0.000527234
285	-0.00215349
286	-0.000201983
287	0.00370103
288	-0.000852486
289	-0.000852486
290	-0.00182824
291	-0.00215349
292	0.00174953
293	-0.000852486
294	0.000123269
295	-0.000527234
296	-0.00215349
297	-0.00247874
298	0.000773772
299	-0.000852486
300	0.000123269
301	0.000773772
302	-0.004105
303	-0.00508075
304	-0.00312925
305	-0.00182824
306	-0.0034545
307	-0.00443025
308	-0.00150299
309	0.000123269
310	-0.000852486
311	-0.00117774
312	-0.000527234
313	-0.00117774
314	-0.00117774
315	-0.00247874
316	-0.00280399
317	-0.00117774
318	-0.00573126
319	-0.00605651
320	-0.00182824
321	-0.00215349
322	-0.00443025
323	-0.00280399
